Agewt,ECG-0,ECG-1,BM-0,BM-1,CP-0,CP-1,CP-2,DB-0,DB-1,PFH-0,PFH-1,CHOL-0,CHOL-1,SCORE,Max-Score
0.085,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.000,0.594,0.637,0.000,0.509,0.000,1.957,
0.085,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.000,0.594,0.637,0.000,0.000,0.491,1.939,
0.085,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.000,0.594,0.000,0.363,0.509,0.000,1.683,
0.085,0.096,0.000,0.000,0.008,0.000,0.000,0.028,0.000,0.594,0.000,0.363,0.000,0.491,1.665,
0.085,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.406,0.000,0.637,0.000,0.509,0.000,3.573,
0.085,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.406,0.000,0.637,0.000,0.000,0.491,3.555,
0.085,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.406,0.000,0.000,0.363,0.509,0.000,3.299,
0.085,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.406,0.000,0.000,0.363,0.000,0.491,3.281,
0.085,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.000,0.594,0.637,0.000,0.509,0.000,3.761,
0.085,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.000,0.594,0.637,0.000,0.000,0.491,3.743,
0.085,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.000,0.594,0.000,0.363,0.509,0.000,3.487,
0.085,0.000,0.904,0.992,0.000,0.040,0.000,0.000,0.000,0.594,0.000,0.363,0.000,0.491,3.469,
0.085,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.406,0.000,0.637,0.000,0.509,0.000,4.465,
0.085,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.406,0.000,0.637,0.000,0.000,0.491,4.447,
0.085,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.406,0.000,0.000,0.363,0.509,0.000,4.191,
0.085,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.406,0.000,0.000,0.363,0.000,0.491,4.173,
0.085,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.000,0.594,0.637,0.000,0.509,0.000,4.653,
0.085,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.000,0.594,0.637,0.000,0.000,0.491,4.635,
0.085,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.000,0.594,0.000,0.363,0.509,0.000,4.379,
0.085,0.000,0.904,0.992,0.000,0.000,0.932,0.000,0.000,0.594,0.000,0.363,0.000,0.491,4.361,
0.085,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.406,0.000,0.637,0.000,0.509,0.000,3.561,
0.085,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.406,0.000,0.637,0.000,0.000,0.491,3.543,
0.085,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.406,0.000,0.000,0.363,0.509,0.000,3.287,
0.085,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.406,0.000,0.000,0.363,0.000,0.491,3.269,
0.085,0.000,0.904,0.992,0.000,0.000,0.000,0.028,0.000,0.594,0.637,0.000,0.509,0.000,3.749,
